Iteración,1,2,3,4,5,6,7,8,9,10
2007,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2008,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2009,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2010,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2011,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2012,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2013,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2014,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2015,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2016,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2017,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2018,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2019,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2020,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2021,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2022,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2023,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2024,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2025,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2026,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2027,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2028,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2029,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2030,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2031,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2032,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2033,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2034,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2035,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2036,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2037,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2038,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
2039,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
